grid_id,run_timestamp,as_of_date,reason
AIZ_GRID_002,2026-09-22T04:54:01.350594+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_004,2026-09-22T04:54:01.350607+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_005,2026-09-22T04:54:01.350610+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_006,2026-09-22T04:54:01.350613+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_008,2026-09-22T04:54:01.350616+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_009,2026-09-22T04:54:01.350619+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_011,2026-09-22T04:54:01.350621+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_012,2026-09-22T04:54:01.350624+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_019,2026-09-22T04:54:01.350626+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_020,2026-09-22T04:54:01.350629+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_025,2026-09-22T04:54:01.350632+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_026,2026-09-22T04:54:01.350635+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_027,2026-09-22T04:54:01.350638+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_028,2026-09-22T04:54:01.350640+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_032,2026-09-22T04:54:01.350643+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_033,2026-09-22T04:54:01.350647+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
